"PLOT";"total";"PROPFOR";"PROPNATFOR";"SHA500";"region"
1;0;"0.0206264323911383";"0";"0.100467166";"Plain"
4;0;"0.626766840697823";"0";"0.660654027";"Plain"
5;0;"0.592715231788079";"0";"0.675855047";"Plain"
8;0;"0.214285714285714";"0";"0.578864828";"Plain"
9;0;"0.48452820578123";"0";"1.048333629";"Plain"
10;0;"0.4793683138054";"0";"0.692295606";"Plain"
11;0;"0.656608097784568";"0";"0.705356356";"Plain"
12;0;"0.48643830383293";"0";"1.011613564";"Plain"
13;0;"0.374554253693327";"0";"1.050820064";"Plain"
14;0;"0.771610439210694";"0";"0.684722743";"Plain"
15;0;"0.872278110276328";"0";"0.449705852";"Plain"
16;0;"0.270597223990832";"0";"1.089059033";"Plain"
17;0;"0.438487009679063";"0";"0.685560278";"Plain"
18;0;"0.575757575757576";"0";"0.681624434";"Plain"
19;0;"1";"0";"0";"Plain"
20;0;"0.69460010188487";"0";"0.814608549";"Plain"
21;0;"0.321023812555711";"0";"1.096788575";"Plain"
51;0;"0.982413661271824";"0.626929562848618";"0.737443342";"Foot_hills"
52;0;"1";"0.55842997323818";"0.68630343";"Foot_hills"
53;0;"0.985222929936306";"0.739979312128265";"0.641558082";"Foot_hills"
54;0;"0.996943453897096";"0.5947879407256";"0.693755791";"Foot_hills"
57;0;"0.9214112851866";"0.4341996129389";"0.90598051";"Foot_hills"
58;0;"0.665520315883327";"0";"0.637305803";"Foot_hills"
59;0;"0.792839852210473";"0";"0.510169691";"Foot_hills"
60;0;"0.852012226184412";"0";"0.419202741";"Foot_hills"
61;0;"0.607411180440596";"0";"0.669892023";"Foot_hills"
62;0;"0.857924888605983";"0.131473512390562";"0.832400795";"Foot_hills"
73;0;"0.87347250509165";"0";"0.3797319";"Banks"
74;0;"1";"0.101999235960779";"0.329453669";"Banks"
75;0;"0.749682176455632";"0";"0.56268404";"Banks"
76;0;"1";"0";"0";"Banks"
77;0;"0.875990795193045";"0";"0.374837665";"Banks"
