point;espece;total
001C_2;corneille noire;2
001D_1;corneille noire;6
001D_2;corneille noire;6
016A_1;corneille noire;8
016A_2;corneille noire;14
016B_1;corneille noire;6
016B_2;corneille noire;11
016C_1;corneille noire;13
016C_2;corneille noire;5
016D_1;corneille noire;12
016D_2;corneille noire;5
025A_1;corneille noire;7
025B_1;corneille noire;2
025C_1;corneille noire;8
025D_1;corneille noire;5
030A_1;corneille noire;11
030B_1;corneille noire;9
030C_1;corneille noire;12
030D_1;corneille noire;10
053A_1;corneille noire;2
053B_1;corneille noire;0
053C_1;corneille noire;0
053D_1;corneille noire;0
058A_1;corneille noire;2
058A_2;corneille noire;8
058B_1;corneille noire;1
058B_2;corneille noire;4
058C_1;corneille noire;2
058C_2;corneille noire;3
058D_1;corneille noire;7
058D_2;corneille noire;11
063A_1;corneille noire;5
063B_1;corneille noire;3
063C_1;corneille noire;11
063D_1;corneille noire;4
143A_1;corneille noire;0
143A_2;corneille noire;4
143B_1;corneille noire;2
143B_2;corneille noire;4
143C_1;corneille noire;7
143C_2;corneille noire;4
143D_1;corneille noire;11
143D_2;corneille noire;3
166A_1;corneille noire;3
166A_2;corneille noire;0
166B_1;corneille noire;1
166B_2;corneille noire;3
166C_1;corneille noire;4
166C_2;corneille noire;6
166D_1;corneille noire;4
166D_2;corneille noire;2
168A_1;corneille noire;2
168A_2;corneille noire;4
168B_1;corneille noire;5
168B_2;corneille noire;6
168C_1;corneille noire;5
168C_2;corneille noire;6
168D_1;corneille noire;4
168D_2;corneille noire;4
182A_1;corneille noire;3
182B_1;corneille noire;3
182C_1;corneille noire;7
182D_1;corneille noire;6
199A_1;corneille noire;2
199A_2;corneille noire;5
199B_1;corneille noire;2
199B_2;corneille noire;0
199C_1;corneille noire;6
199C_2;corneille noire;6
199D_1;corneille noire;3
199D_2;corneille noire;6
213A_1;corneille noire;11
213B_1;corneille noire;4
213C_1;corneille noire;6
213D_1;corneille noire;5
242A_1;corneille noire;3
242B_1;corneille noire;1
242C_1;corneille noire;1
242D_1;corneille noire;1
260A_1;corneille noire;2
260B_1;corneille noire;1
260C_1;corneille noire;2
260D_1;corneille noire;2
271A_1;corneille noire;10
271A_2;corneille noire;3
271B_1;corneille noire;1
271B_2;corneille noire;8
271C_1;corneille noire;8
271C_2;corneille noire;6
271D_1;corneille noire;7
271D_2;corneille noire;2
354A_1;corneille noire;2
354A_2;corneille noire;7
354B_1;corneille noire;2
354B_2;corneille noire;2
354C_1;corneille noire;3
354C_2;corneille noire;3
354D_1;corneille noire;4
354D_2;corneille noire;4
385A_1;corneille noire;0
385A_2;corneille noire;7
385B_1;corneille noire;4
385B_2;corneille noire;2
385C_1;corneille noire;1
385C_2;corneille noire;3
385D_1;corneille noire;2
385D_2;corneille noire;1
434A_1;corneille noire;6
434A_2;corneille noire;2
434B_1;corneille noire;1
434B_2;corneille noire;2
434C_1;corneille noire;0
434C_2;corneille noire;1
434D_1;corneille noire;1
434D_2;corneille noire;2
443A_1;corneille noire;9
443A_2;corneille noire;4
443B_1;corneille noire;1
443B_2;corneille noire;14
443C_1;corneille noire;2
443C_2;corneille noire;10
443D_1;corneille noire;5
443D_2;corneille noire;6
452A_1;corneille noire;1
452B_1;corneille noire;5
452C_1;corneille noire;5
452D_1;corneille noire;5
490A_1;corneille noire;1
490A_2;corneille noire;0
490B_1;corneille noire;2
490B_2;corneille noire;7
490C_1;corneille noire;4
490C_2;corneille noire;6
490D_1;corneille noire;4
490D_2;corneille noire;11
506A_1;corneille noire;7
506B_1;corneille noire;2
506C_1;corneille noire;8
506D_1;corneille noire;2
524A_1;corneille noire;2
524A_2;corneille noire;5
524B_1;corneille noire;1
524B_2;corneille noire;4
524C_1;corneille noire;2
524C_2;corneille noire;5
524D_1;corneille noire;3
524D_2;corneille noire;10
682A_1;corneille noire;2
682A_2;corneille noire;7
682B_1;corneille noire;2
682B_2;corneille noire;3
682C_1;corneille noire;2
682C_2;corneille noire;2
682D_1;corneille noire;1
682D_2;corneille noire;2
689A_1;corneille noire;3
689A_2;corneille noire;6
689B_1;corneille noire;8
689B_2;corneille noire;5
689C_1;corneille noire;3
689C_2;corneille noire;5
689D_1;corneille noire;6
