"";"ID";"individu";"espece";"T5_inf70";"T10_inf70";"T15_inf70";"T5_sup70";"T10_sup70";"T15_sup70";"tot_inf70";"tot_sup70";"TOT";"transit";"chanteur";"observateur"
"1844";"271A_1";18;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"1846";"271A_1";20;"corneille noire";0;0;0;2;0;0;0;2;2;"non";"non";"barnagaud"
"1853";"271A_1";27;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"1874";"271B_1";8;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"1894";"271C_1";1;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"barnagaud"
"1896";"271C_1";3;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"barnagaud"
"1897";"271C_1";4;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"1898";"271C_1";5;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"1905";"271C_1";12;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"1908";"271C_1";15;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"1909";"271C_1";16;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"1911";"271C_1";18;"corneille noire";0;0;0;1;0;0;0;1;1;"oui";"non";"barnagaud"
"1927";"271D_1";1;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"1931";"271D_1";5;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"1936";"271D_1";10;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"barnagaud"
"1939";"271D_1";13;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"1941";"271D_1";15;"corneille noire";0;0;0;0;0;2;0;2;2;"non";"non";"barnagaud"
"1947";"271D_1";21;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"1962";"354A_1";2;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"mony"
"1978";"354A_1";18;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"2005";"354B_1";12;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"2020";"354B_1";27;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"2031";"354C_1";10;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"2035";"354C_1";14;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"2046";"354C_1";25;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"2067";"354D_1";6;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"2074";"354D_1";13;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"2079";"354D_1";18;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"mony"
"2083";"354D_1";22;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"mony"
"2123";"385B_1";15;"corneille noire";0;0;0;0;4;3;0;4;4;"non";"non";"corbeau"
"2132";"385C_1";2;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"corbeau"
"2159";"385D_1";7;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"corbeau"
"2164";"385D_1";12;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"corbeau"
"2172";"434A_1";3;"corneille noire";0;0;0;1;0;0;0;1;1;"oui";"non";"barnagaud"
"2173";"434A_1";4;"corneille noire";0;0;0;1;0;0;0;1;1;"oui";"non";"barnagaud"
"2176";"434A_1";7;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"barnagaud"
"2177";"434A_1";8;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"barnagaud"
