rs;latitude;longitude
13;48.53946;0.29384
14;48.53952;0.29722
16;48.52551;0.2673
16;48.52557;0.27069
14;48.52563;0.27407
16;48.52569;0.27745
12;48.52598;0.29436
10;48.52604;0.29775
12;48.5261;0.30113
8;48.52615;0.30451
16;48.52621;0.30789
12;48.52054;0.24043
17;48.5206;0.24381
15;48.52066;0.24719
10;48.51616;0.24737
13;48.51622;0.25075
10;48.51161;0.24417
13;48.51167;0.24755
14;48.51173;0.25093
13;48.51179;0.25431
11;48.51185;0.25769
16;48.51191;0.26108
9;48.70188;0.46404
11;48.68834;0.46114
9;48.6884;0.46453
13;48.68845;0.46792
15;48.6885;0.47132
16;48.68856;0.47471
11;48.70193;0.46744
10;48.68861;0.4781
12;48.68866;0.4815
12;48.68872;0.48489
11;48.68877;0.48828
10;48.68893;0.49846
10;48.68898;0.50185
13;48.68903;0.50525
9;48.68909;0.50864
11;48.68914;0.51203
18;48.68919;0.51543
6;48.70198;0.47083
17;48.68924;0.51882
13;48.68929;0.52221
17;48.68935;0.52561
18;48.6894;0.529
15;48.68945;0.53239
7;48.6895;0.53579
7;48.68955;0.53918
11;48.6896;0.54257
14;48.70204;0.47423
13;48.70209;0.47762
13;48.68412;0.47826
13;48.68417;0.48166
12;48.70214;0.48101
13;48.68422;0.48505
10;48.68443;0.49862
19;48.68449;0.50201
15;48.68454;0.50541
13;48.68459;0.5088
15;48.68464;0.51219
17;48.6847;0.51558
16;48.68475;0.51898
12;48.6848;0.52237
15;48.7022;0.48441
13;48.68485;0.52576
19;48.6849;0.52916
18;48.68496;0.53255
19;48.68501;0.53594
24;48.68506;0.53933
25;48.68511;0.54273
16;48.68516;0.54612
6;48.6802;0.51574
15;48.68026;0.51913
12;48.68031;0.52253
15;48.68036;0.52592
11;48.68041;0.52931
9;48.68046;0.5327
15;48.68051;0.5361
17;48.68057;0.53949
6;48.70648;0.47067
20;48.68062;0.54288
15;48.68067;0.54627
14;48.68072;0.54967
9;48.67576;0.51929
13;48.67581;0.52268
13;48.67587;0.52608
9;48.67592;0.52947
6;48.67597;0.53286
7;48.67607;0.53964
6;48.67612;0.54304
7;48.67617;0.54643
13;48.67127;0.51945
11;48.67132;0.52284
12;48.67137;0.52623
8;48.67142;0.52962
15;48.67148;0.53302
13;48.67153;0.53641
10;48.67168;0.54658
10;48.67173;0.54998
13;48.66678;0.5196
12;48.66683;0.523
10;48.66688;0.52639
13;48.70653;0.47407
15;48.69728;0.45742
12;48.69733;0.46081
18;48.69738;0.46421
11;48.69744;0.4676
17;48.69749;0.47099
17;48.69754;0.47439
17;48.70658;0.47746
18;48.6976;0.47778
15;48.69765;0.48117
13;48.6977;0.48457
15;48.69776;0.48796
17;48.69781;0.49136
16;48.69786;0.49475
18;48.69807;0.50832
16;48.69812;0.51172
13;48.69818;0.51511
15;48.69823;0.51851
20;48.69828;0.5219
19;48.69833;0.52529
11;48.69838;0.52869
13;48.69843;0.53208
14;48.69278;0.45758
12;48.69284;0.46097
12;48.69289;0.46437
15;48.69294;0.46776
16;48.693;0.47115
16;48.69305;0.47455
15;48.6931;0.47794
16;48.69316;0.48133
11;48.69321;0.48473
8;48.69326;0.48812
13;48.69353;0.50509
15;48.69358;0.50848
19;48.69363;0.51188
14;48.69368;0.51527
18;48.69373;0.51866
13;48.69379;0.52206
14;48.69384;0.52545
16;48.69389;0.52884
13;48.69394;0.53224
9;48.69399;0.53563
15;48.54691;0.67906
15;48.51952;0.64948
15;48.51956;0.65286
15;48.51961;0.65624
13;48.51971;0.66301
9;48.51976;0.66639
13;48.5198;0.66977
10;48.51985;0.67316
13;48.5199;0.67654
13;48.51995;0.67992
11;48.51999;0.6833
10;48.51521;0.66315
13;48.51526;0.66654
16;48.51531;0.66992
15;48.51536;0.6733
12;48.5154;0.67668
18;48.51545;0.68006
16;48.5155;0.68345
10;48.51072;0.6633
9;48.51077;0.66668
16;48.51082;0.67006
16;48.51086;0.67344
14;48.51091;0.67682
20;48.51096;0.68021
12;48.51101;0.68359
16;48.5111;0.69035
11;48.51115;0.69373
14;48.53763;0.65905
11;48.53768;0.66243
14;48.50623;0.66344
15;48.50627;0.66682
16;48.50632;0.6702
16;48.50637;0.67359
10;48.50656;0.68711
10;48.50661;0.69049
15;48.50665;0.69387
13;48.53773;0.66582
20;48.50164;0.65682
14;48.50168;0.6602
15;48.50173;0.66359
17;48.50178;0.66697
13;48.50183;0.67035
11;48.50187;0.67373
20;48.53787;0.67597
12;48.50192;0.67711
17;48.49719;0.66035
17;48.49724;0.66373
20;48.49729;0.66711
22;48.53792;0.67935
18;48.49733;0.67049
13;48.49738;0.67387
7;48.49743;0.67725
11;48.49748;0.68063
10;48.49752;0.68401
14;48.49757;0.6874
18;48.53797;0.68273
19;48.4927;0.66049
19;48.49274;0.66387
12;48.49279;0.66725
15;48.49284;0.67063
16;48.49289;0.67401
16;48.54696;0.68245
18;48.53802;0.68612
19;48.49293;0.6774
8;48.49298;0.68078
9;48.49303;0.68416
16;48.49308;0.68754
12;48.49312;0.69092
17;48.48825;0.66402
14;48.4883;0.6674
11;48.48835;0.67078
16;48.48839;0.67416
18;48.48844;0.67754
18;48.48849;0.68092
12;48.48854;0.6843
17;48.48858;0.68768
15;48.48395;0.67768
17;48.48399;0.68106
19;48.48404;0.68444
18;48.48409;0.68782
17;48.48414;0.6912
11;48.4795;0.6812
17;48.47955;0.68458
16;48.47959;0.68796
15;48.47964;0.69134
17;48.47969;0.69472
13;48.47501;0.68135
11;48.47505;0.68473
12;48.4751;0.6881
17;48.47515;0.69148
18;48.47046;0.67811
17;48.47051;0.68149
16;48.47056;0.68487
21;48.47061;0.68825
15;48.46597;0.67825
16;48.46602;0.68163
15;48.53309;0.65581
17;48.53314;0.65919
14;48.53319;0.66258
17;48.53324;0.66596
16;48.53333;0.67273
14;48.53338;0.67611
19;48.53343;0.67949
16;48.53347;0.68288
13;48.53352;0.68626
12;48.53357;0.68964
16;48.5286;0.65596
14;48.52865;0.65934
11;48.52869;0.66272
14;48.52874;0.6661
13;48.52879;0.66949
10;48.52884;0.67287
20;48.52893;0.67964
15;48.52898;0.68302
13;48.52903;0.6864
18;48.54227;0.66906
14;48.52907;0.68978
14;48.54237;0.67582
14;48.52396;0.64595
17;48.52401;0.64933
16;48.52406;0.65272
15;48.52411;0.6561
15;48.52415;0.65948
14;48.54241;0.67921
17;48.5242;0.66286
10;48.52425;0.66625
11;48.5243;0.66963
4;48.52434;0.67301
12;48.52439;0.6764
13;48.52444;0.67978
13;48.52449;0.68316
14;48.52453;0.68654
