"";"point";"nstrates";"Hdom";"ST";"essence";"type_peupl";"longitude";"latitude";"sr";"even";"ab"
"123";"PT358";6;18;36;"CHE";"Perchis";0,667713998;48,6170657;12;0,951311834384453;17
"124";"PT359";6;18;36;"CHE";"Perchis";0,671102609;48,61711338;14;0,934643259138494;21
"125";"PT36";5,5;26;23,75;"CHE";"Vieille_futaie";0,568531877;48,64260098;15;0,960979519092106;22
"126";"PT37";5,5;26,25;23,75;"CHE";"Vieille_futaie";0,578702433;48,64275224;15;0,954581681682432;23
"127";"PT38";5,33333333333333;16,6666666666667;18,6666666666667;"CHE";"Perchis";0,582092631;48,64280247;17;0,958613199981017;24
"128";"PT383";6;31,5;31;"CHE";"Futaie";0,596704725;48,61154852;19;0,966096972534149;26
"129";"PT384";6;32;27;"CHE";"Futaie";0,600092911;48,61159823;11;0,988109091574121;12
"130";"PT385";6;32;27;"CHE";"Futaie";0,603481103;48,61164785;16;0,934110125424036;24
"131";"PT386";6;32;27;"CHE";"Futaie";0,606869301;48,61169737;12;0,963698336942612;17
"133";"PT388";5;10;28;"CHE";"Gaulis";0,613645718;48,61179612;15;0,97825316613251;20
"134";"PT389";6;30;36;"CHE";"Futaie";0,617033936;48,61184535;15;0,97825316613251;20
"135";"PT39";5,75;29;25;"CHE";"Perchis";0,585482836;48,6428526;15;0,944157965336198;24
"137";"PT391";6;30;36;"CHE";"Futaie";0,623810391;48,61194351;14;0,967480688782894;18
"138";"PT392";6;34;41;"CHE";"Vieille_futaie";0,627198628;48,61199245;12;0,953812472224891;18
"139";"PT393";5;7;0;"CHE";"Gaulis";0,630586871;48,61204129;12;0,96551083575204;18
"140";"PT394";5;7;0;"CHE";"Gaulis";0,633975121;48,61209004;14;0,978495736085595;18
"141";"PT395";5;5;0;"CHE";"Definitive";0,637363377;48,61213869;18;0,972118368624397;25
"142";"PT396";6;34;41;"CHE";"Vieille_futaie";0,64075164;48,61218724;16;0,953415172422047;25
"143";"PT397";6;31;31;"CHE";"Vieille_futaie";0,644139908;48,61223569;17;0,964770896460396;25
"144";"PT398";5;10;28;"CHE";"Gaulis";0,647528183;48,61228405;11;0,963938446733963;13
"145";"PT399";6;31;31;"CHE";"Vieille_futaie";0,650916465;48,61233231;16;0,959509954224539;27
"146";"PT40";5,6;22,2;18,4;"CHE";"Perchis";0,588873047;48,64290263;10;0,937959523253579;19
"147";"PT400";6;30;31;"CHE";"Vieille_futaie";0,654304752;48,61238047;15;0,965487800737016;24
"148";"PT401";6;30;31;"CHE";"Vieille_futaie";0,657693046;48,61242854;13;0,930392717459259;22
"149";"PT402";6;22;19;"CHE";"Perchis";0,661081346;48,61247651;13;0,948829240743371;19
"150";"PT403";6;22;19;"CHE";"Perchis";0,664469653;48,61252438;10;0,959900932367709;12
"151";"PT404";6;22;19;"CHE";"Perchis";0,667857965;48,61257216;11;0,943488349907413;17
"152";"PT405";6;22;19;"CHE";"Perchis";0,671246284;48,61261984;11;0,943488349907413;17
"153";"PT41";5,8;24,4;22,6;"CHE";"Futaie";0,592263265;48,64295257;13;0,965417553286007;17
"154";"PT42";6;28;27,2;"CHE";"Futaie";0,595653489;48,64300241;13;0,977417518308649;17
"155";"PT43";6;27,8;26,2;"CHE";"Futaie";0,59904372;48,64305215;15;0,968592190432141;20
"156";"PT431";6;30;36;"CHE";"Futaie";0,59007903;48,60695534;16;0,969916001225649;22
"157";"PT432";6;30;31;"CHE";"Vieille_futaie";0,593466911;48,60700524;14;0,93834794418494;22
"158";"PT433";6;30;31;"CHE";"Vieille_futaie";0,596854798;48,60705505;13;0,951933245086321;21
"159";"PT434";6;30;31;"CHE";"Vieille_futaie";0,600242692;48,60710476;15;0,952908048796288;28
"162";"PT437";6;34;41;"CHE";"Vieille_futaie";0,617182257;48,60735185;11;0,973018605421988;19
"163";"PT438";6;34;41;"CHE";"Vieille_futaie";0,62057019;48,60740098;15;0,957527007439062;23
"164";"PT439";6;34;41;"CHE";"Vieille_futaie";0,623958128;48,60745001;13;0,965417553286007;17
"165";"PT44";5,8;26,4;21,2;"CHE";"Futaie";0,602433957;48,64310179;12;0,982336812626325;14
"166";"PT440";6;34;41;"CHE";"Vieille_futaie";0,627346073;48,60749894;13;0,946714066871896;18
"167";"PT441";6;23;29;"CHE";"Futaie";0,630734025;48,60754778;10;0,920117677090959;15
"168";"PT442";6;23;29;"CHE";"Futaie";0,634121983;48,60759652;17;0,971305593630763;24
"169";"PT443";5;3;0;"CHE";"Semis";0,637509947;48,60764517;17;0,964770896460396;25
"170";"PT444";5;3;0;"CHE";"Semis";0,640897917;48,60769371;13;0,948829240743371;19
"171";"PT445";5;10;28;"CHE";"Gaulis";0,644285894;48,60774216;12;0,98929725585177;13
"172";"PT446";5;10;28;"CHE";"Gaulis";0,647673877;48,60779052;10;0,97411089529882;14
"173";"PT447";5;6;0;"CHE";"Fourre";0,651061866;48,60783877;14;0,954461601397868;27
"174";"PT448";5;6;0;"CHE";"Fourre";0,654449862;48,60788693;18;0,972684392802021;26
"175";"PT449";6;18;36;"CHE";"Perchis";0,657837864;48,60793499;13;0,966863346962478;16
"176";"PT45";5,8;25;21,6;"CHE";"Futaie";0,605824201;48,64315134;19;0,989150878635484;21
"177";"PT450";6;18;36;"CHE";"Perchis";0,661225872;48,60798296;6;0,967132018086354;8
"178";"PT451";6;18;36;"CHE";"Perchis";0,664613886;48,60803083;7;0,898374191684214;12
"179";"PT452";5;10;28;"CHE";"Gaulis";0,668001907;48,6080786;7;0,957742056202218;12
"180";"PT453";6;22;19;"CHE";"Perchis";0,671389934;48,60812628;8;0,930827083453526;12
"181";"PT454";6;22;19;"CHE";"Perchis";0,674777967;48,60817385;9;0,930688285550101;14
"182";"PT455";5;10;0;"CHE";"Gaulis";0,678166006;48,60822134;9;0,958744661315413;14
"183";"PT479";6;30;36;"CHE";"Futaie";0,590229661;48,60246186;13;0,958383223292328;20
"184";"PT480";6;30;36;"CHE";"Futaie";0,593617249;48,60251176;16;0,953415172422047;25
"185";"PT481";6;30;31;"CHE";"Vieille_futaie";0,597004845;48,60256156;13;0,934870415988059;22
"186";"PT482";6;34;41;"CHE";"Vieille_futaie";0,614349435;48,60281503;11;0,939460685533135;16
"187";"PT483";6;34;41;"CHE";"Vieille_futaie";0,617330553;48,60285834;13;0,96540722817577;18
"188";"PT484";6;34;41;"CHE";"Vieille_futaie";0,620718193;48,60290746;12;0,934517175124137;18
"189";"PT485";6;35;35;"CHE";"Futaie";0,62410584;48,60295649;9;0,929896694047616;18
"190";"PT486";6;35;35;"CHE";"Futaie";0,627493493;48,60300542;10;0,94164749794124;14
"195";"PT491";6;35;35;"CHE";"Futaie";0,648605491;48,60330817;17;0,961542777252795;27
"196";"PT492";6;32;26;"CHE";"Vieille_futaie";0,651207243;48,60334522;15;0,971272007926115;18
"197";"PT493";5;6;0;"CHE";"Fourre";0,654594947;48,60339338;17;0,981382632116924;21
"198";"PT495";5;6;0;"CHE";"Fourre";0,661370373;48,6034894;12;0,938947430675234;19
"199";"PT496";5;10;28;"CHE";"Gaulis";0,664758095;48,60353726;7;0,908449690314596;11
"200";"PT497";5;10;28;"CHE";"Gaulis";0,668145824;48,60358503;8;0,948450312207479;11
"201";"PT498";5;3;0;"CHE";"Semis";0,671533559;48,6036327;13;0,958383223292328;20
"202";"PT499";5;3;0;"CHE";"Semis";0,6749213;48,60368027;10;0,960255009846156;15
"203";"PT50";5,75;29,25;28,25;"CHE";"Jeune_futaie";0,622775516;48,64339763;11;0,96110093337444;14
"204";"PT513";6;30;31;"CHE";"Vieille_futaie";0,590380265;48,59796837;14;0,953526197371696;21
"205";"PT514";6;31;31;"CHE";"Vieille_futaie";0,614091481;48,59831559;14;0,967044280918683;19
"206";"PT515";6;36;36;"CHE";"Futaie";0,617478823;48,59836481;15;0,946493312927913;22
"207";"PT516";6;29;29;"CHE";"Vieille_futaie";0,620866172;48,59841393;13;0,951759348388087;20
"208";"PT517";6;36;36;"CHE";"Futaie";0,624253527;48,59846295;11;0,939460685533135;16
"210";"PT6";5,8;26;27,2;"CHE";"Jeune_futaie";0,564988794;48,64704368;14;0,925032776556595;20
"211";"PT68";5,5;15,5;11;"CHE";"Perchis";0,56529459;48,63805704;19;0,945181149983479;30
"212";"PT69";5,5;15,5;11;"CHE";"Perchis";0,56868447;48,63810765;18;0,982222762659823;22
"213";"PT70";6;23;31,5;"CHE";"Jeune_futaie";0,578854148;48,6382589;12;0,949263538668536;25
"214";"PT71";6;26,5;26;"CHE";"Jeune_futaie";0,582244054;48,63830912;15;0,931213098286968;23
"216";"PT73";6;24,5;21,5;"CHE";"Regeneration";0,589023886;48,63840927;10;0,964144749563997;16
"217";"PT74";6;27,5;23;"CHE";"Regeneration";0,592413811;48,63845921;12;0,963139650810911;16
"218";"PT75";6;30,3333333333333;28;"CHE";"Vieille_futaie";0,595803743;48,63850904;10;0,922945119031281;20
"219";"PT76";6;28,25;29;"CHE";"Vieille_futaie";0,599193682;48,63855878;12;0,982336812626325;14
"220";"PT79";6;29,6;26,4;"CHE";"Jeune_futaie";0,609363536;48,63870741;12;0,957227185823316;19
"221";"PT8";5,66666666666667;28,3333333333333;19,3333333333333;"CHE";"Vieille_futaie";0,575160207;48,64719525;19;0,973259571899556;27
"223";"PT82";5,6;20,6;22,4;"CHE";"Perchis";0,619533448;48,63885517;11;0,976687463710328;14
"224";"PT83";6;26,6666666666667;26,6666666666667;"CHE";"Jeune_futaie";0,622923432;48,63890423;14;0,967480688782894;18
"225";"PT9";5,5;21,5;6,5;"CHE";"Regeneration";0,578550691;48,64724557;10;0,969174584860698;17
