;HIEVIR;LACBIL;NATMAU;NATNAT;PODMUR;ZAMLON;CORGIR;ANGFRA;MALMON;PODLIO;RHISCA;VIPASP;CHASTR;TARMAU;TIMLEP;PSAALG;PSAEDW;EMYORB;MAULEP;CORAUS;HEMTUR;ZOOVIV;LACAGI;VIPBER
ID1216;0;0;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0
ID1249;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0
ID1250;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0
ID1251;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0
ID1252;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0
ID1253;0;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0
ID1254;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0
ID1255;0;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0
ID1256;0;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0
ID1287;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0
ID1288;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
ID1289;1;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
ID1290;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;1;0
ID1291;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0
ID1292;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0
ID1293;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID1294;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0
ID1295;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0
ID1296;0;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0
ID1328;1;1;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
ID1329;1;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0
ID1330;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID1331;1;1;1;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
ID1332;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID1333;0;1;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
ID1334;0;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0
ID1335;0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0
ID1337;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0;0;0
ID1372;1;1;0;1;1;1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0
